1
100 4950
7 30 6511
7 31 22741
7 32 20175
7 33 21459
7 34 17825
7 35 3221
7 36 17870
7 37 1626
7 38 31934
7 39 15205
7 40 31783
7 41 23850
7 42 17398
7 43 22279
7 44 22701
7 45 12193
7 46 12734
7 47 1637
7 48 26534
7 49 5556
7 50 1993
7 51 10176
7 52 25705
7 53 6962
7 54 10548
7 55 15881
7 56 300
7 57 14413
7 58 16641
7 59 19855
7 60 24855
7 61 13142
7 62 11462
7 63 27611
7 64 30877
7 65 20424
7 66 32678
7 67 1752
7 68 18443
7 69 28296
7 70 12673
7 71 10040
7 72 9313
7 73 875
7 74 20072
7 75 12818
7 76 610
7 77 1017
7 78 14932
7 79 28112
7 80 30695
7 81 13169
7 82 23831
7 83 20040
7 84 26488
7 85 28685
7 86 19090
7 87 19497
7 88 2589
7 89 25990
7 90 15145
7 91 19353
7 92 19314
7 93 18651
7 94 26740
7 95 22044
7 96 11258
7 97 335
7 98 8759
7 99 11192
7 100 7605
8 9 25264
8 10 12181
8 11 28503
8 12 3829
8 13 23775
8 14 20608
8 15 29292
8 16 5997
8 17 17549
8 18 29556
8 19 25561
8 20 31627
8 21 6467
8 22 29541
8 23 26129
8 24 31240
8 25 27813
8 26 29174
8 27 20601
8 28 6077
8 29 20215
8 30 8683
8 31 8213
8 32 23992
8 33 25824
8 34 5601
8 35 23392
8 36 15759
8 37 2670
8 38 26428
8 39 28027
8 40 4084
8 41 10075
8 42 18786
8 43 15498
8 44 24970
8 45 6287
8 46 23847
8 47 32604
8 48 503
8 49 21221
8 50 22663
8 51 5706
8 52 2363
8 53 9010
8 54 22171
8 55 27489
8 56 18240
8 57 12164
8 58 25542
8 59 7619
8 60 20913
8 61 7591
8 62 6704
8 63 31818
8 64 9232
8 65 750
8 66 25205
8 67 4975
8 68 1539
8 69 303
8 70 11422
8 71 21098
8 72 11247
8 73 13584
8 74 13648
8 75 2971
8 76 17864
8 77 22913
8 78 11075
8 79 21545
8 80 28712
8 81 17546
8 82 18678
8 83 1769
8 84 15262
8 85 8519
8 86 13985
8 87 28289
8 88 15944
8 89 2865
8 90 18540
8 91 23245
8 92 25508
8 93 28318
8 94 27870
8 95 9601
8 96 28323
8 97 21132
8 98 24472
8 99 27152
8 100 25087
9 10 28570
9 11 29763
9 12 29901
9 13 17103
9 14 14423
9 15 3527
9 16 11600
9 17 26969
9 18 14015
9 19 5565
9 20 28
9 21 21543
9 22 25347
9 23 2088
9 24 2943
9 25 12637
9 26 22409
9 27 26463
9 28 5049
9 29 4681
9 30 1588
9 31 11342
9 32 608
9 33 32060
9 34 21221
9 35 1758
9 36 29954
9 37 20888
9 38 14146
9 39 690
9 40 7949
9 41 12843
9 42 21430
9 43 25620
9 44 748
9 45 27067
9 46 4536
9 47 20783
9 48 18035
9 49 32226
9 50 15185
9 51 7038
9 52 9853
9 53 25629
9 54 11224
9 55 15748
9 56 19923
9 57 3359
9 58 32257
9 59 24766
9 60 4944
9 61 14955
9 62 23318
9 63 32726
9 64 25411
9 65 21025
9 66 20355
9 67 31001
9 68 22549
9 69 9496
9 70 18584
9 71 9515
9 72 17964
9 73 23342
9 74 8075
9 75 17913
9 76 16142
9 77 31196
9 78 21948
9 79 25072
9 80 20426
9 81 14606
9 82 26173
9 83 24429
9 84 32404
9 85 6705
9 86 20626
9 87 29812
9 88 19375
9 89 30093
9 90 16565
9 91 16036
9 92 14736
9 93 29141
9 94 30814
9 95 5994
9 96 8256
9 97 6652
9 98 23936
9 99 30838
9 100 20482
10 11 1355
10 12 21015
10 13 1131
10 14 18230
10 15 17841
10 16 14625
10 17 2011
10 18 32637
10 19 4186
10 20 19690
10 21 1650
10 22 5662
10 23 21634
10 24 10893
10 25 10353
10 26 21416
10 27 13452
10 28 14008
10 29 7262
10 30 22233
10 31 5454
10 32 16303
10 33 16634
10 34 26303
10 35 14256
10 36 148
10 37 11124
10 38 12317
10 39 4213
10 40 27109
10 41 24028
10 42 29200
10 43 21080
10 44 21318
10 45 16858
10 46 24050
10 47 24155
10 48 31361
10 49 15264
10 50 11903
10 51 3676
10 52 29643
10 53 26909
10 54 14902
10 55 3561
10 56 28489
10 57 24948
10 58 1282
10 59 13653
10 60 30674
10 61 2220
10 62 5402
10 63 6923
10 64 3831
10 65 19369
10 66 3878
10 67 20259
10 68 19008
10 69 22619
10 70 23971
10 71 30003
10 72 21945
10 73 9781
10 74 26504
10 75 12392
10 76 32685
10 77 25313
10 78 6698
10 79 5589
10 80 12722
10 81 5938
10 82 19037
10 83 6410
10 84 31461
10 85 6234
10 86 12508
10 87 9961
10 88 3959
10 89 6493
10 90 1515
10 91 25269
10 92 24937
10 93 28869
10 94 58
10 95 14700
10 96 13971
10 97 26264
10 98 15117
10 99 16215
10 100 24555
11 12 7815
11 13 18330
11 14 3039
11 15 30212
11 16 29288
11 17 28082
11 18 1954
11 19 16085
11 20 20710
11 21 24484
11 22 24774
11 23 8380
11 24 29815
11 25 25951
11 26 6541
11 27 18115
11 28 1679
11 29 17110
11 30 25898
11 31 23073
11 32 788
11 33 23977
11 34 18132
11 35 29956
11 36 28689
11 37 26113
11 38 10008
11 39 12941
11 40 15790
11 41 1723
11 42 21363
11 43 28
11 44 25184
11 45 24778
11 46 7200
11 47 5071
11 48 1885
11 49 21974
11 50 1071
11 51 11333
11 52 22867
11 53 26153
11 54 14295
11 55 32168
11 56 20825
11 57 9676
11 58 15629
11 59 28650
11 60 2598
11 61 3309
11 62 4693
11 63 4686
11 64 30080
11 65 10116
11 66 12249
11 67 26667
11 68 1528
11 69 26679
11 70 7864
11 71 29421
11 72 8405
11 73 8826
11 74 6816
11 75 7516
11 76 27726
11 77 28666
11 78 29087
11 79 27681
11 80 19964
11 81 1340
11 82 5686
11 83 6021
11 84 11662
11 85 14721
11 86 6064
11 87 29309
11 88 20415
11 89 17902
11 90 29873
11 91 17124
11 92 23941
11 93 32745
11 94 31762
11 95 28423
11 96 27531
11 97 4806
11 98 12268
11 99 9318
11 100 5602
12 13 31907
12 14 24307
12 15 23481
12 16 1012
12 17 21136
12 18 26630
12 19 24114
12 20 26809
12 21 4084
12 22 23556
12 23 12290
12 24 21293
12 25 29996
12 26 29152
12 27 1054
12 28 25345
12 29 14708
12 30 248
12 31 7491
12 32 13712
12 33 5131
12 34 30114
12 35 16439
12 36 7958
12 37 24722
12 38 29704
12 39 6995
12 40 1052
12 41 25269
12 42 7479
12 43 18238
12 44 26423
12 45 27918
12 46 10866
12 47 17659
12 48 32498
12 49 28486
12 50 21196
12 51 7462
12 52 26633
12 53 12158
12 54 12022
12 55 1146
12 56 18392
12 57 13037
12 58 3925
12 59 10647
12 60 29458
12 61 6602
12 62 30807
12 63 4098
12 64 27830
12 65 29292
12 66 14600
12 67 7278
12 68 20799
12 69 18352
12 70 20448
12 71 13882
12 72 540
12 73 28315
12 74 4575
12 75 8762
12 76 9567
12 77 22336
12 78 18397
12 79 31418
12 80 19897
12 81 25828
12 82 13851
12 83 26816
12 84 24230
12 85 4449
12 86 16925
12 87 658
12 88 229
12 89 24520
12 90 10940
12 91 29560
12 92 15147
12 93 25162
12 94 1655
12 95 20675
12 96 792
12 97 22361
12 98 31754
12 99 16398
12 100 23146
13 14 8714
13 15 26946
13 16 21188
13 17 19569
13 18 8638
13 19 27663
13 20 15075
13 21 24515
13 22 11521
13 23 475
13 24 15615
13 25 20528
13 26 13234
13 27 12570
13 28 905
13 29 9464
13 30 19557
13 31 28962
13 32 14161
13 33 30524
13 34 12549
13 35 17469
13 36 330
13 37 31923
13 38 28350
13 39 14333
13 40 22925
13 41 10910
13 42 19737
13 43 16336
13 44 18337
13 45 1278
13 46 12393
13 47 7636
13 48 30714
13 49 28164
13 50 31591
13 51 19949
13 52 19135
13 53 2505
13 54 13337
13 55 10004
13 56 16337
13 57 2623
13 58 28664
13 59 9970
13 60 25608
13 61 30568
13 62 19281
13 63 7085
13 64 9152
13 65 18373
13 66 28652
13 67 8194
13 68 9876
13 69 23826
13 70 28396
13 71 7572
13 72 6249
13 73 14640
13 74 29174
13 75 18819
13 76 943
13 77 32611
13 78 1941
13 79 20289
13 80 8419
13 81 5565
13 82 3805
13 83 7585
13 84 16216
13 85 31450
13 86 1615
13 87 2609
13 88 11064
13 89 9166
13 90 16893
13 91 16074
13 92 13509
13 93 30300
13 94 19695
13 95 9573
13 96 15589
13 97 13161
13 98 31172
13 99 17968
13 100 27358
14 15 26031
14 16 26268
14 17 19426
14 18 28510
14 19 10422
14 20 30774
14 21 8779
14 22 30910
14 23 23552
14 24 4182
14 25 25391
14 26 15495
14 27 5764
14 28 874
14 29 1364
14 30 14902
14 31 28255
14 32 4460
14 33 474
14 34 6972
14 35 26821
14 36 26122
14 37 25547
14 38 21577
14 39 9789
14 40 25605
14 41 30195
14 42 27594
14 43 7950
14 44 16343
14 45 754
14 46 2481
14 47 1012
14 48 11672
14 49 23439
14 50 13428
14 51 5912
14 52 9762
14 53 5967
14 54 24408
14 55 4415
14 56 1908
14 57 17223
14 58 11759
14 59 26434
14 60 5204
14 61 29486
14 62 4319
14 63 958
14 64 5945
14 65 26806
14 66 8166
14 67 18700
14 68 11367
14 69 17692
14 70 21787
14 71 28532
14 72 30556
14 73 30974
14 74 3447
14 75 5021
14 76 18283
14 77 26222
14 78 29331
14 79 2376
14 80 28583
14 81 26948
14 82 12723
14 83 17982
14 84 22018
14 85 14776
14 86 9220
14 87 31111
14 88 32182
14 89 23856
14 90 19490
14 91 8925
14 92 4324
14 93 6486
14 94 19677
14 95 15969
14 96 11643
14 97 7534
14 98 15677
14 99 22668
14 100 31068
15 16 21991
15 17 32196
15 18 7783
15 19 16828
15 20 7727
15 21 29426
15 22 15871
15 23 10697
15 24 17612
15 25 18703
15 26 11027
15 27 11408
15 28 5545
15 29 9508
15 30 7185
15 31 30238
15 32 24237
15 33 26443
15 34 21313
15 35 22501
15 36 8850
15 37 25128
15 38 2111
15 39 23650
15 40 28149
15 41 11192
15 42 1454
15 43 15869
15 44 681
15 45 27465
15 46 20267
15 47 17713
15 48 19793
15 49 18634
15 50 25472
15 51 20972
15 52 22830
15 53 24901
15 54 28442
15 55 5177
15 56 13877
15 57 25770
15 58 702
15 59 14364
15 60 1381
15 61 16590
15 62 8823
15 63 2237
15 64 8023
15 65 32179
15 66 16595
15 67 20169
15 68 2327
15 69 12042
15 70 31310
15 71 28182
15 72 11058
15 73 7926
15 74 9487
15 75 1670
15 76 32528
15 77 5651
15 78 2258
15 79 7213
15 80 9860
15 81 25783
15 82 21286
15 83 2742
15 84 8610
15 85 4472
15 86 7128
15 87 18434
15 88 5841
15 89 20718
15 90 3503
15 91 14867
15 92 24865
15 93 10938
15 94 1881
15 95 9257
15 96 22750
15 97 28614
15 98 18598
15 99 28458
15 100 2661
16 17 26063
16 18 32756
16 19 20807
16 20 20278
16 21 19489
16 22 19435
16 23 6365
16 24 32075
16 25 7586
16 26 1386
16 27 7833
16 28 8360
16 29 13330
16 30 26048
16 31 8928
16 32 29492
16 33 12433
16 34 23840
16 35 6766
16 36 1735
16 37 19810
16 38 11599
16 39 11837
16 40 21892
16 41 31982
16 42 7328
16 43 29352
16 44 11369
16 45 31244
16 46 21794
16 47 6608
16 48 9252
16 49 11647
16 50 17432
16 51 9535
16 52 7208
16 53 3264
16 54 3497
16 55 23243
16 56 27649
16 57 22015
16 58 26841
16 59 189
16 60 16100
16 61 19812
16 62 30648
16 63 9523
16 64 19851
16 65 24474
16 66 28633
16 67 29891
16 68 27200
16 69 19854
16 70 9990
16 71 25697
16 72 4919
16 73 17780
16 74 22578
16 75 12931
16 76 32544
16 77 3340
16 78 13487
16 79 899
16 80 22525
16 81 8483
16 82 5538
16 83 7492
16 84 6193
16 85 28252
16 86 25011
16 87 1560
16 88 15834
16 89 1840
16 90 31497
16 91 2785
16 92 18529
16 93 31540
16 94 18805
16 95 28791
16 96 13392
16 97 13210
16 98 13549
16 99 21578
16 100 26979
17 18 30971
17 19 9277
17 20 73
17 21 20193
17 22 1620
17 23 21497
17 24 13826
17 25 31276
17 26 19790
17 27 6582
17 28 13578
17 29 11159
17 30 20418
17 31 26489
17 32 159
17 33 3449
17 34 12924
17 35 9072
17 36 10380
17 37 27008
17 38 27967
17 39 10208
17 40 6477
17 41 18503
17 42 15370
17 43 32607
17 44 14196
17 45 12074
17 46 13722
17 47 12611
17 48 19019
17 49 28761
17 50 11056
17 51 12890
17 52 31163
17 53 16683
17 54 13716
17 55 19932
17 56 25452
17 57 2741
17 58 4954
17 59 6813
17 60 2862
17 61 10396
17 62 15460
17 63 20615
17 64 10904
17 65 2599
17 66 20136
17 67 4680
17 68 9198
17 69 27032
17 70 14387
17 71 32584
17 72 7240
17 73 3517
17 74 17006
17 75 8670
17 76 241
17 77 18882
17 78 25249
17 79 3523
17 80 31758
17 81 12105
17 82 29621
17 83 17095
17 84 7296
17 85 9916
17 86 15678
17 87 10178
17 88 13579
17 89 25058
17 90 27577
17 91 12750
17 92 14007
17 93 23729
17 94 24081
17 95 2995
17 96 2678
17 97 24676
17 98 27753
17 99 20899
17 100 11784
18 19 15565
18 20 3093
18 21 13608
18 22 6172
18 23 11243
18 24 29929
18 25 7514
18 26 10168
18 27 5055
18 28 11191
18 29 5973
18 30 8922
18 31 6748
18 32 5651
18 33 10986
18 34 2144
18 35 16446
18 36 31577
18 37 26517
18 38 14629
18 39 29916
18 40 5874
18 41 15791
18 42 15469
18 43 22912
18 44 8146
18 45 30693
18 46 9091
18 47 9815
18 48 26949
18 49 26857
18 50 20640
18 51 26052
18 52 236
18 53 8551
18 54 9487
18 55 31226
18 56 28162
18 57 16955
18 58 23183
18 59 8394
18 60 30180
18 61 16097
18 62 3065
18 63 27065
18 64 2513
18 65 9261
18 66 12578
18 67 21078
18 68 16878
18 69 14140
18 70 4611
18 71 31947
18 72 2445
18 73 170
18 74 29975
18 75 13489
18 76 24750
18 77 6149
18 78 3333
18 79 13865
18 80 22214
18 81 17282
18 82 27007
18 83 27432
18 84 8896
18 85 16367
18 86 28522
18 87 4882
18 88 31810
18 89 17641
18 90 7231
18 91 2187
18 92 6705
18 93 6479
18 94 6321
18 95 6538
18 96 31351
18 97 19447
18 98 24208
18 99 9646
18 100 22276
19 20 25759
19 21 30189
19 22 30422
19 23 27666
19 24 8486
19 25 3455
19 26 2028
19 27 29614
19 28 4860
19 29 29253
19 30 11777
19 31 31348
19 32 12503
19 33 10861
19 34 22431
19 35 29082
19 36 12455
19 37 14197
19 38 22106
19 39 8752
19 40 15821
19 41 17296
19 42 26281
19 43 26021
19 44 24455
19 45 15947
19 46 27124
19 47 18318
19 48 9135
19 49 11376
19 50 1774
19 51 29859
19 52 24998
19 53 12074
19 54 9253
19 55 6922
19 56 10635
19 57 1643
19 58 28888
19 59 8153
19 60 13232
19 61 4747
19 62 28680
19 63 19926
19 64 25678
19 65 6450
19 66 14801
19 67 24961
19 68 14199
19 69 20855
19 70 26363
19 71 5716
19 72 10573
19 73 31561
19 74 23245
19 75 6473
19 76 28274
19 77 1550
19 78 24353
19 79 1181
19 80 4287
19 81 2699
19 82 18110
19 83 18643
19 84 17465
19 85 7172
19 86 2529
19 87 9981
19 88 2112
19 89 13476
19 90 4381
19 91 8247
19 92 26890
19 93 16671
19 94 8805
19 95 32372
19 96 30032
19 97 3989
19 98 9320
19 99 23165
19 100 15431
20 21 9658
20 22 11293
20 23 17206
20 24 26578
20 25 16948
20 26 2206
20 27 27171
20 28 18166
20 29 3396
20 30 16697
20 31 31020
20 32 23694
20 33 15529
20 34 14788
20 35 30109
20 36 17984
20 37 11969
20 38 28978
20 39 21617
20 40 4015
20 41 16626
20 42 3684
20 43 9168
20 44 17906
20 45 25928
20 46 12097
20 47 28118
20 48 24390
20 49 15199
20 50 11785
20 51 14486
20 52 19199
20 53 12420
20 54 20710
20 55 18271
20 56 15813
20 57 27415
20 58 6085
20 59 318
20 60 3580
20 61 1331
20 62 7267
20 63 8387
20 64 13444
20 65 23186
20 66 14507
20 67 4360
20 68 17827
20 69 28074
20 70 26431
20 71 7152
20 72 30271
20 73 10268
20 74 4693
20 75 19885
20 76 337
20 77 31311
20 78 17604
20 79 12677
20 80 406
20 81 7768
20 82 29022
20 83 19413
20 84 5000
20 85 542
20 86 17537
20 87 30038
20 88 21388
20 89 7355
20 90 13289
20 91 31647
20 92 3181
20 93 13093
20 94 16584
20 95 10987
20 96 10761
20 97 20493
20 98 8217
20 99 9501
20 100 17482
21 22 29447
21 23 15665
21 24 10753
21 25 22104
21 26 15084
21 27 19095
21 28 13525
21 29 30221
21 30 3964
21 31 21781
21 32 4872
21 33 8106
21 34 3656
21 35 3343
21 36 22593
21 37 27080
21 38 16080
21 39 14868
21 40 21411
21 41 13713
21 42 20968
21 43 3251
21 44 27216
21 45 12079
21 46 28768
21 47 17040
21 48 31531
21 49 12933
21 50 23779
21 51 20663
21 52 12259
21 53 26653
21 54 27936
21 55 2095
21 56 24365
21 57 11874
21 58 7720
21 59 26835
21 60 25680
21 61 8976
21 62 18455
21 63 5725
21 64 4071
21 65 24808
21 66 13559
21 67 9156
21 68 5602
21 69 17832
21 70 7905
21 71 10440
21 72 7375
21 73 21562
21 74 22885
21 75 21962
21 76 21080
21 77 1836
21 78 10797
21 79 31202
21 80 10508
21 81 10080
21 82 5340
21 83 12076
21 84 9058
21 85 31493
21 86 7740
21 87 8546
21 88 20474
21 89 24773
21 90 19097
21 91 8880
21 92 23335
21 93 11072
21 94 23400
21 95 707
21 96 22955
21 97 20666
21 98 4141
21 99 23588
21 100 12481
22 23 17168
22 24 28315
22 25 19396
22 26 16225
22 27 1009
22 28 22012
22 29 18136
22 30 11455
22 31 18762
22 32 25043
22 33 742
22 34 21
22 35 17922
22 36 24512
22 37 9248
22 38 26018
22 39 27368
22 40 23717
22 41 9714
22 42 17650
22 43 13290
22 44 3335
22 45 12759
22 46 3169
22 47 21895
22 48 5303
22 49 22640
22 50 21979
22 51 24199
22 52 29105
22 53 24791
22 54 18661
22 55 8681
22 56 3652
22 57 8753
22 58 24033
22 59 32029
22 60 15987
22 61 7042
22 62 26253
22 63 20083
22 64 11420
22 65 15814
22 66 32718
22 67 12244
22 68 31063
22 69 7229
22 70 20652
22 71 18864
22 72 4769
22 73 30470
22 74 15005
22 75 21047
22 76 1594
22 77 21487
22 78 24326
22 79 3276
22 80 21323
22 81 6540
22 82 7679
22 83 23990
22 84 32588
22 85 24710
22 86 29271
22 87 17945
22 88 29221
22 89 28470
22 90 20183
22 91 23589
22 92 23955
22 93 4978
22 94 24779
22 95 5006
22 96 13262
22 97 20135
22 98 23487
22 99 27196
22 100 29033
23 24 2088
23 25 12935
23 26 19779
23 27 15993
23 28 14790
23 29 24962
23 30 18965
23 31 11001
23 32 19105
23 33 11807
23 34 24567
23 35 2669
23 36 3134
23 37 32671
23 38 1457
23 39 12998
23 40 3545
23 41 13597
23 42 14218
23 43 8838
23 44 14844
23 45 7372
23 46 8563
23 47 21028
23 48 29264
23 49 28801
23 50 14723
23 51 13490
23 52 7604
23 53 31601
23 54 24227
23 55 11197
23 56 23692
23 57 19771
23 58 20363
23 59 29301
23 60 22363
23 61 7721
23 62 3565
23 63 17421
23 64 23445
23 65 18610
23 66 495
23 67 16741
23 68 15022
23 69 31812
23 70 29151
23 71 23015
23 72 8055
23 73 3393
23 74 8738
23 75 15279
23 76 19882
23 77 1608
23 78 12654
23 79 3822
23 80 32707
23 81 24245
23 82 1338
23 83 144
